canonical_metabolite,item_type,therapeutic_group,disease_or_use_area,mild_to_heavy_class,extreme_or_special_caution,notes
Brinzolamide,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Brivaracetam,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Moderate / needs supervision or monitoring,No,"Practical classification; verify exact indication, country status, and formulation."
Budipine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Buprenorphine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,"Opioid; controlled/special monitoring, respiratory-depression risk."
Busulfan,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,Yes,Cytotoxic chemotherapy/conditioning agent; high monitoring burden.
Cabergoline,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Caffeine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Capecitabine,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,Yes,Oral chemotherapy; specialist oncology use.
Captopril,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Carboprost,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Carboprost Tromethamine,"Drug, prodrug, ester, or salt/formulation",Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Carboxyibuprofen,Metabolite / degradation or conjugated form,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Carisoprodol,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Cefaclor,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Cefpodoxime proxetil,"Drug, prodrug, ester, or salt/formulation",Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Cefprozil,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Ceftizoxime,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Cefuroxime sodium,"Drug, prodrug, ester, or salt/formulation",Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Cephalexin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Cerivastatin lactone,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Heavy / special caution or non-routine,Yes,"Withdrawn, rare, or high-caution compound in many contexts."
Chlorprothixene,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Cilastatin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Clarithromycin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Clinofibrate,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Cortisone,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Cropropamide,Parent drug / active compound,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Dantrolene,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Delgocitinib,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Deoxycorticosterone acetate,"Drug, prodrug, ester, or salt/formulation",Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Desacetylmetipranolol,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Desmethylastemizole,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Desmethylsertraline,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Desoxycortisone acetate,"Drug, prodrug, ester, or salt/formulation",Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Dexamethasone acetate,"Drug, prodrug, ester, or salt/formulation",Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Diazepam,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Benzodiazepine; dependence/sedation risk.
Dibekacin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Dicloxacillin sodium,"Drug, prodrug, ester, or salt/formulation",Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Didanosine,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Diethylpropion,Parent drug / active compound,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Heavy / high-risk or specialist,Yes,Stimulant/anorectic; controlled or restricted in many places.
dihydroergocornine,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Dihydroetorphine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Very potent opioid; extreme caution/specialist context.
Dihydroisomorphine-3-glucuronide,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Dihydroouabain,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Dihydroxycarbazepine,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Dimethisterone,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Diphenhydramine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Drostanolone,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Heavy / high-risk or specialist,Yes,Anabolic androgenic steroid; doping/abuse relevance.
Emtricitabine,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Enalapril,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Epanolol,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Eprosartan,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Eptifibatide,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Erythromycin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Estradiol valerate,"Drug, prodrug, ester, or salt/formulation",Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Etamicastat,Parent drug / active compound,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Ethisterone,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Ethosuximide,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Ethotoin,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Etodolac acyl glucuronide,Metabolite / degradation or conjugated form,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Ezetimibe,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Mild / common-use or lower-intensity,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Ezetimibe-glucuronide,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Famotidine,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Fenoprofen,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Fenquizone,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Fluconazole,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Flumethasone,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Fluocortolone Pivalate,"Drug, prodrug, ester, or salt/formulation",Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Fluoxetine glucuronide,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Fluprostenol,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Flurithromycin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Furazolidone,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Heavy / special caution or non-routine,Yes,"Withdrawn, rare, or high-caution compound in many contexts."
Furosemide glucuronide,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Fusidic Acid,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Gabapentin,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Gemfibrozil,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Gentamicin C2,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Guanabenz,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Hydrocortisone,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Hydromorphine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Potent opioid analgesic; controlled/special monitoring.
Hydroquinidine,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Hydroxybuprenorphine,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Opioid metabolite; exposure marker for buprenorphine.
Hydroxyibuprofen,Metabolite / degradation or conjugated form,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Hydroxypioglitazone,Metabolite / degradation or conjugated form,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Hydroxyzine,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild / common-use or lower-intensity,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Ibuprofen glucuronide,Metabolite / degradation or conjugated form,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Idazoxan,Parent drug / active compound,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Ifenprodil,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Indoprofen,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Iodopindolol,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Irbesartan,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
